{mlang en}Primary (Elementary){mlang}{mlang fr}Primaire (Élémentaire){mlang}
{mlang en}High School{mlang}{mlang fr}Secondaire{mlang}
{mlang en}CEGEP{mlang}{mlang fr}CÉGEP{mlang}
{mlang en}College{mlang}{mlang fr}Collège{mlang}
{mlang en}University{mlang}{mlang fr}Université{mlang}
